wid	txtid	inv_nr	cth_number	lnr	trans	text	text_tags	text_clean	subscr	matlect	num	sign	corr	deleted	added	ras	rasx	gap	note	link	mrp0sel	combined
10	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 2	aššuš	a-aš-šu-uš	a-aš-šu-uš	a-aš-šu-uš													1a 	{'lg': 'Hit', 'mrp1': 'ašš=u-@gut@{ a → NOM.SG.C} { b → ACC.PL.C}@3.2@'}
11	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 2	eštu	e-eš-du	e-eš-du	e-eš-du													2	{'lg': 'Hit', 'mrp1': 'eš-@sitzen@3SG.IMP@I.1.1.1@', 'mrp2': 'eš-@sein@3SG.IMP@I.2.3@', 'mrp3': 'ešš=@(u.B.)@LUW.3SG.IMP@V.8@', 'mrp4': 'e=šša-@machen@3SG.IMP.IMPF@II.4@'}
12	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 2	KURe		<sGr>KUR</sGr>-e	KUR-e													1a 	{'lg': 'Hit', 'mrp1': 'KUR=@Land@{ a → FNL(e).NOM.SG.N} { b → FNL(e).ACC.SG.N} { c → FNL(e).NOM.PL.N} { d → FNL(e).ACC.PL.N} { e → FNL(e).D/L.SG}@28.6@', 'mrp2': 'KUR=@Land@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.6 += e@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@', 'mrp3': 'KUR=(e/i)ant-@Land@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.13.1 += e@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@'}
13	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 2	10ašpat		<d>D</d><sGr>10</sGr>-aš-pát	~D~10-aš-pát													1b 	{'lg': 'Hit', 'mrp1': '10=@Wettergott@{ a → DN.FNL(a).HITT.NOM.SG} { b → DN.HITT.GEN.SG} { c → DN.HITT.GEN.PL} { d → DN.HITT.D/L.PL}@35.10.1 += pat@FOC@@D', 'mrp2': '10=@Wettergott@DN.HURR.ERG@35.10.1 += pat@FOC@@D'}
14	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 3	nepeš	ne-pé-eš	ne-pé-eš	ne-pé-eš													1a 	{'lg': 'Hit', 'mrp1': 'nepe=š-@Himmel@{ a → NOM.SG.N} { b → ACC.SG.N} { c → STF}@11.2@'}
15	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 3	tekanna	te-	te-<laes_in/>kán<laes_fin/>-na	te-⸢kán⸣-na													1a 	{'lg': 'Hit', 'mrp1': 'tek=an-/tag=n-@Erde@{ a → NOM.SG.N} { b → ACC.SG.N}@9.3@+= ya@CNJadd@'}
16	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 3	ÉRINaz		<sGr>ÉRIN</sGr><d>MEŠ</d>-az	ÉRIN~MEŠ~-az													1	{'lg': 'Hit', 'mrp1': 'ÉRIN=@Truppe@NOM.SG.C@29.6@(LÚ)', 'mrp2': 'ÉRIN=@Truppe@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@29.6 += za@REFL@@(LÚ)'}
17	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 3	10ašpat		<d>D</d><sGr>10</sGr>-aš-pát	~D~10-aš-pát													1b 	{'lg': 'Hit', 'mrp1': '10=@Wettergott@{ a → DN.FNL(a).HITT.NOM.SG} { b → DN.HITT.GEN.SG} { c → DN.HITT.GEN.PL} { d → DN.HITT.D/L.PL}@35.10.1 += pat@FOC@@D', 'mrp2': '10=@Wettergott@DN.HURR.ERG@35.10.1 += pat@FOC@@D'}
18	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 3	nuza	nu-za	nu-za	nu-za													1	{'lg': 'Hit', 'mrp1': 'nu=z@@CONNn=REFL@@'}
19	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 3	laparnan		<d>LÚ</d>la-ba-ar-na-an	~LÚ~la-ba-ar-na-an													1a 	{'lg': 'Hit', 'mrp1': 'labarn=a-@(Königstitel)@{ a → ACC.SG.C} { b → GEN.PL}@1.1@(LÚ)'}
20	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 3	LUGALun		<sGr>LUGAL</sGr>-un	LUGAL-un													1	{'lg': 'Hit', 'mrp1': 'LUGAL=u-@König@FNL(u).ACC.SG.C@28.3.1.1@'}
21	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 4	maniaḫḫatallan		<d>LÚ</d>ma-ni-ia-aḫ-ḫa-<laes_in/>tal<laes_fin/>-la-an	~LÚ~ma-ni-ia-aḫ-ḫa-⸢tal⸣-la-an													1a 	{'lg': 'Hit', 'mrp1': 'maniaḫḫatall=a-@Verwalter@{ a → ACC.SG.C} { b → GEN.PL}@1.1@LÚ'}
22	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 4	iat	i-ia-at	i-ia-at	i-ia-at													1b 	{'lg': 'Hit', 'mrp1': 'iye/a-@machen@{ a → 2SG.PST} { b → 3SG.PST}@I.7.1@', 'mrp2': '@(heben)@2SG.IMP@I.1.2 += at@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@', 'mrp3': '@(heben)@2SG.IMP@I.1.2 += at@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@', 'mrp4': '@(heben)@2SG.IMP@I.1.2 += at@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@', 'mrp5': '@(heben)@2SG.IMP@I.1.2 += at@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@'}
23	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 4	nušši	nu-uš-ši	nu-uš-ši	nu-uš-ši													2	{'lg': 'Hit', 'mrp1': 'nu=uš=šši@@CONNn=PPRO.3PL.C.ACC=PPRO.3SG.D/L@@', 'mrp2': 'nu=šši@@CONNn=PPRO.3SG.D/L@@'}
24	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 4	KÙ.BABBARaš		<d>URU</d><sGr>KÙ.BABBAR</sGr>-aš	~URU~KÙ.BABBAR-aš													1b 	{'lg': 'Hit', 'mrp1': '\xad\xad\u200c\xadKÙ.BABBAR=(a)š-@Ḫattuša@{ a → GN.FNL(a).NOM.SG.C} { b → GN.GEN.SG}@39.8@URU', 'mrp2': '\xad\xad\u200c\xadKÙ.BABBAR=(a)š-@Ḫattuša@{ a → GN.FNL(a).NOM.SG.C} { b → GN.GEN.SG}@39.8@URU', 'mrp3': '\xad\xad\u200c\xadKÙ.BABBAR=(a)š-@Ḫattuša@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.NOM.PL(UNM)} { d → GN.ACC.PL(UNM)} { e → GN.GEN.SG(UNM)} { f → GN.GEN.PL(UNM)} { g → GN.D/L.SG(UNM)} { h → GN.D/L.PL(UNM)} { i → GN.ALL(UNM)} { j → GN.ABL(UNM)} { k → GN.INS(UNM)} { l → GN.VOC.SG(UNM)} { m → GN.VOC.PL(UNM)}@39.8 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@URU', 'mrp4': '\xad\xad\u200c\xadKÙ.BABBAR=(a)š-@Ḫattuša@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.NOM.PL(UNM)} { d → GN.ACC.PL(UNM)} { e → GN.GEN.SG(UNM)} { f → GN.GEN.PL(UNM)} { g → GN.D/L.SG(UNM)} { h → GN.D/L.PL(UNM)} { i → GN.ALL(UNM)} { j → GN.ABL(UNM)} { k → GN.INS(UNM)} { l → GN.VOC.SG(UNM)} { m → GN.VOC.PL(UNM)}@39.8 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@URU'}
25	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 4	KURe		<sGr>KUR</sGr>-e	KUR-e													1c 	{'lg': 'Hit', 'mrp1': 'KUR=@Land@{ a → FNL(e).NOM.SG.N} { b → FNL(e).ACC.SG.N} { c → FNL(e).NOM.PL.N} { d → FNL(e).ACC.PL.N} { e → FNL(e).D/L.SG}@28.6@', 'mrp2': 'KUR=@Land@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.6 += e@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@', 'mrp3': 'KUR=(e/i)ant-@Land@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.13.1 += e@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@'}
26	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 5	ḫuman	ḫu-u-ma-an	ḫu-u-ma-an	ḫu-u-ma-an													2b 	{'lg': 'Hit', 'mrp1': 'ḫuman@gänzlich@@ADV@', 'mrp2': 'ḫumant-@jeder; ganz@{ a → QUANall.NOM.SG.N} { b → QUANall.ACC.SG.N}@27.3@'}
27	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 5	paiš	pa-iš	pa-iš	pa-iš													1	{'lg': 'Hit', 'mrp1': 'pai-/pe-/piya-@geben@3SG.PST@II.6.2@'}
28	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 5	nuššan	nu-uš-	nu-uš-<laes_in/>ša<laes_fin/>-an	nu-uš-⸢ša⸣-an													1	{'lg': 'Hit', 'mrp1': 'nu=ššan@@CONNn=OBPs@@', 'mrp2': 'nu=uš=ššan@@CONNn=PPRO.3PL.C.ACC=OBPs@@'}
29	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 5	KURe		<sGr>KUR</sGr>-e	KUR-e													1b 	{'lg': 'Hit', 'mrp1': 'KUR=@Land@{ a → FNL(e).NOM.SG.N} { b → FNL(e).ACC.SG.N} { c → FNL(e).NOM.PL.N} { d → FNL(e).ACC.PL.N} { e → FNL(e).D/L.SG}@28.6@', 'mrp2': 'KUR=@Land@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.6 += e@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@', 'mrp3': 'KUR=(e/i)ant-@Land@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.13.1 += e@{ R → PPRO.3SG.N.NOM} { S → PPRO.3SG.N.ACC} { T → PPRO.3PL.C.NOM} { U → PPRO.3PL.N.NOM} { V → PPRO.3PL.N.ACC}@@'}
30	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 5	ḫuman	ḫu-u-ma-an	ḫu-u-ma-an	ḫu-u-ma-an													2b 	{'lg': 'Hit', 'mrp1': 'ḫuman@gänzlich@@ADV@', 'mrp2': 'ḫumant-@jeder; ganz@{ a → QUANall.NOM.SG.N} { b → QUANall.ACC.SG.N}@27.3@'}
31	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 5	laparnaš	la-ba-ar-na-aš	la-ba-ar-na-aš	la-ba-ar-na-aš													1a 	{'lg': 'Hit', 'mrp1': 'labarn=a-@(Königstitel)@{ a → NOM.SG.C} { b → GEN.SG} { c → VOC.SG} { d → GEN.PL} { e → D/L.PL}@1.1@(LÚ)', 'mrp2': 'laparn=a-@Labarna@{ a → PNm.NOM.SG.C} { b → PNm.GEN.SG}@38.2@(m)'}
32	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 6	ŠUaz		<sGr>ŠU</sGr>-az	ŠU-az													1	{'lg': 'Hit', 'mrp1': 'ŠU=@Hand@ABL@28.10.2@', 'mrp2': 'ŠU=@Hand@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.10.2 += za@REFL@@'}
33	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 6	maniaḫḫiškettu	ma-ni-ia-aḫ-ḫi-	ma-ni-ia-aḫ-ḫi-<laes_in/>iš<laes_fin/>-ke-ed-du	ma-ni-ia-aḫ-ḫi-⸢iš⸣-ke-ed-du													1	{'lg': 'Hit', 'mrp1': 'maniaḫḫ=išk-@zuteilen@3SG.IMP.IMPF@I.8@'}
34	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 6	kuiššan	ku-iš-ša-an	ku-iš-ša-an	ku-iš-ša-an													1	{'lg': 'Hit', 'mrp1': 'kuišša@jeder@INDFevr.NOM.SG.C@25@+= an@PPRO.3SG.C.ACC@', 'mrp2': 'kui-@welcher@REL.NOM.SG.C@22 += ššan@OBPs@@', 'mrp3': 'kui-@wer?@INT.NOM.SG.C@23 += ššan@OBPs@@', 'mrp4': 'kui-@welcher@{ a → REL.ACC.SG.C} { b → REL.ACC.PL.C}@22 += ššan@OBPs@@', 'mrp5': 'kui-@wer?@{ a → INT.ACC.SG.C} { b → INT.ACC.PL.C}@23 += ššan@OBPs@@', 'mrp6': 'kui-@welcher@REL.NOM.SG.C@22@+= ya=an@CNJadd=PPRO.3SG.C.ACC@', 'mrp7': 'kui-@wer?@INT.NOM.SG.C@23@+= ya=an@CNJadd=PPRO.3SG.C.ACC@'}
35	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 7	laparnaš	la-ba-ar-	la-ba-ar-<laes_in/>na<laes_fin/>-aš	la-ba-ar-⸢na⸣-aš													1b 	{'lg': 'Hit', 'mrp1': 'labarn=a-@(Königstitel)@{ a → NOM.SG.C} { b → GEN.SG} { c → VOC.SG} { d → GEN.PL} { e → D/L.PL}@1.1@(LÚ)', 'mrp2': 'laparn=a-@Labarna@{ a → PNm.NOM.SG.C} { b → PNm.GEN.SG}@38.2@(m)'}
36	IBoT 1.30+	Bo 8141 {€2}	821	{€1+2} Vs. 7	LUGALuaš		<sGr>LUGAL</sGr>-w<del_in/>a-a<del_fin/>š	LUGAL-w[a-a]š													1a 	{'lg': 'Hit', 'mrp1': 'LUGAL=u-@König@{ a → FNL(u).GEN.SG} { b → FNL(u).GEN.PL} { c → FNL(u).D/L.PL}@28.3.1.1@'}
